Id,SalesPrice
1461,38356529.55
1462,50132636.67
1463,53110699
1464,53342270.72
1465,46084306.47
1466,51531134.1
1467,47745098.77
1468,47765881.55
1469,48019143.06
1470,39984735.41
1471,49842022.02
1472,45226040.25
1473,45957593.98
1474,49703135.47
1475,37171347.98
1476,64753021.29
1477,51067983.68
1478,58217462.44
1479,56230134.11
1480,83648753.95
1481,65691954.37
1482,48731967.76
1483,45338253.46
1484,43509896.32
1485,45587547.55
1486,53083762.11
1487,66218676.59
1488,52528514.98
1489,43641828.04
1490,52358655.92
1491,52546841.31
1492,38954692.38
1493,47062213.53
1494,63365508.18
1495,65857816.39
1496,52874003.83
1497,51605767.36
1498,45036358.2
1499,44168389.61
1500,46698874.63
1501,59516276.33
1502,41849969.06
1503,51386459.8
1504,56925586.14
1505,52026467.96
1506,56480837.48
1507,69178786.13
1508,55481354.48
1509,50449628.5
1510,46782950.84
1511,45728151.08
1512,53814749.19
1513,50193339.72
1514,58113730.12
1515,65888009.48
1516,50870483.5
1517,47023018.33
1518,50263179.62
1519,56653112.56
1520,44881516.22
1521,46256344.14
1522,54174571.21
1523,45236469.72
1524,40408067.85
1525,40553615.14
1526,40397997.73
1527,36900717.38
1528,45918731.95
1529,42577697.75
1530,52778300.36
1531,59094825.07
1532,40499635.17
1533,41889848.86
1534,44109523.48
1535,52647800.28
1536,43849009.52
1537,34870378.81
1538,49564417.4
1539,57413160.75
1540,60201435.67
1541,47047167.52
1542,52162613.62
1543,59181526.37
1544,36482483.62
1545,42683959.81
1546,41847359.71
1547,50010744.63
1548,48315510.6
1549,41455549.38
1550,49515176.37
1551,43381222.72
1552,56101573.93
1553,51251573.33
1554,45405020.63
1555,52891091.95
1556,42796756.34
1557,49102582.96
1558,38909643.53
1559,54084471.43
1560,52703187.94
1561,57375195.42
1562,36744840.16
1563,40269485.83
1564,49215609.78
1565,46325155.36
1566,52034661.39
1567,34634776.61
1568,62323024.29
1569,46869559.25
1570,37466521.6
1571,41713174.61
1572,46172852.45
1573,52489237.01
1574,44365882.43
1575,53166574.32
1576,57330888.05
1577,44531984.9
1578,45734563.39
1579,40829225.15
1580,52345726.68
1581,39027792.97
1582,38442193.61
1583,64565346.95
1584,59952804.15
1585,41118826.69
1586,30500834.43
1587,36912347.19
1588,46866731.33
1589,41096947.63
1590,42469157.33
1591,39356064.34
1592,46396213.96
1593,37811749.22
1594,64725729.07
1595,51177155.77
1596,63647895.16
1597,63500905.23
1598,49408432
1599,42669545.7
1600,44046776.02
1601,32116145.31
1602,41446991.47
1603,37365678.23
1604,57537257.05
1605,56739665.37
1606,47824680.28
1607,57317730.13
1608,46851558.14
1609,43691034.32
1610,46229681.24
1611,42989073.94
1612,47290997.31
1613,46909165.84
1614,42532652.59
1615,43049661.57
1616,41662358.03
1617,41994204.93
1618,38737010.38
1619,36310813.43
1620,65207244.43
1621,45024024.14
1622,50233545.49
1623,56480473.05
1624,56348776.95
1625,38242155.92
1626,53273251.92
1627,53382676.72
1628,65761908.18
1629,49403446.58
1630,71701399.67
1631,49886397.7
1632,54488005.54
1633,46265880.1
1634,52030018.91
1635,49993235.99
1636,43612036.83
1637,58921862.05
1638,59058084.35
1639,53401233.19
1640,70802188.1
1641,53084395.29
1642,56248225.51
1643,54936856.58
1644,54175879
1645,56017597.76
1646,45271648.5
1647,44535646.37
1648,42756461.19
1649,43228006.79
1650,39601839.93
1651,38453700.11
1652,44254368.35
1653,41992097.01
1654,50446056.41
1655,39471774.48
1656,48643411.11
1657,50501289.25
1658,49027206.62
1659,39154523.26
1660,43302974.18
1661,80364213.57
1662,71177759.07
1663,65247962.44
1664,80580484.47
1665,56527042.12
1666,59171339.26
1667,69587580.36
1668,58266971.85
1669,53409223.74
1670,59696775.66
1671,60623821.71
1672,76087625.74
1673,65428972.16
1674,54364776.82
1675,51334332
1676,49449827.72
1677,50762092.62
1678,78337923.26
1679,69612828.97
1680,61332094.43
1681,53173518.86
1682,58265464.46
1683,49493940.02
1684,47919428.02
1685,48334289.58
1686,44874374.83
1687,44999158.81
1688,52885624.49
1689,51286358.55
1690,49775258.42
1691,47360630.49
1692,58979004.64
1693,44671887.05
1694,50223459.74
1695,45477212.67
1696,66976031.57
1697,45450626.49
1698,73855063.31
1699,58512987.6
1700,63509436.34
1701,66047336.89
1702,54158489.22
1703,54249689.32
1704,57402580.64
1705,51657832.21
1706,73576019.37
1707,48691450.79
1708,47961389.74
1709,50598077.66
1710,49534987.24
1711,56444475.65
1712,57474432.79
1713,55778888.86
1714,51046415.45
1715,51797063
1716,43739250.43
1717,43451747.86
1718,43519981.91
1719,54223729.75
1720,49727528.18
1721,42658047.65
1722,42339780.52
1723,43579198.63
1724,48846333.85
1725,61404840.16
1726,51211855.05
1727,45689436.97
1728,47083734.76
1729,48094588.09
1730,50391083.61
1731,35575672.89
1732,38303598.02
1733,39769187.83
1734,42126731.49
1735,39845511.55
1736,36594269.07
1737,64230902.21
1738,57039420.56
1739,74801768.03
1740,55631364.11
1741,48648842.96
1742,54262073.63
1743,50668941.17
1744,60597634.47
1745,53865727.1
1746,62563966.67
1747,57674216.27
1748,69073456.51
1749,48431536.75
1750,47543889.95
1751,65257884.79
1752,38889523.69
1753,50414322.75
1754,62253700.87
1755,50892341.24
1756,39897865.43
1757,38130400.58
1758,47116696.18
1759,50337033.5
1760,46536500.48
1761,48481565.33
1762,59363059.53
1763,50682976.45
1764,37957910.58
